"from","to","weight"
"hp","hewlett-packard-enterprise",0.139100682564218
"abbott-","abbvie",0.0572407045009785
"allegion-us","ingersoll-rand",0.0549450549450549
"verisign","symantec",0.0548624440179143
"agilent-technologies","keysight-technologies",0.0456394785641139
"conocophillips","phillips66co",0.0394754272089018
"juniper-networks","cisco",0.037804393483567
"ebay","paypal",0.0357736551632422
"weyerhaeuser","international-paper",0.0339125560538117
"host-hotels-&-resorts","marriott-international",0.0321428571428571
